"sitename","climates","topographic_index"
"camels_01013500","Dfb",5.33017826883149
"camels_01022500","Dfb",5.90273476367581
"camels_01030500","Dfb",6.0060446205222
"camels_01031500","Dfb",5.25163050370991
"camels_01047000","Dfb",4.83658831773764
"camels_01052500","Dfb",4.32394307890602
"camels_01054200","Dfb",3.88550555963437
"camels_01055000","Dfb",4.19866343445071
"camels_01057000","Dfb",4.66495441241602
"camels_01073000","Dfb",5.5826068379636
"camels_01078000","Dfb",4.70531876253957
"camels_01118300","Dfa",5.3812132581525
"camels_01121000","Dfa",5.19586266386976
"camels_01123000","Dfa",5.27761953441217
"camels_01134500","Dfb",4.56995050598836
"camels_01137500","Dfb",4.18845205667155
"camels_01139000","Dfb",4.67976785743236
"camels_01139800","Dfb",4.20048074195402
"camels_01142500","Dfb",4.33613065099579
"camels_01144000","Dfb",4.24282373663971
"camels_01162500","Dfb",5.34636780430935
"camels_01169000","Dfb",4.54336953522533
"camels_01170100","Dfb",4.5690267308345
"camels_01181000","Dfb",4.7137975184645
"camels_01187300","Dfb",4.98162333682685
"camels_01195100","Dfa",5.31013397668711
"camels_01333000","Dfb",4.2043981377287
"camels_01350000","Dfb",4.21361718011476
"camels_01350080","Dfb",4.42275540434998
"camels_01350140","Dfb",4.56967305926625
"camels_01365000","Dfa",3.72667294562998
"camels_01411300","Cfa",7.27356826319048
"camels_01413500","Dfb",4.02889264469263
"camels_01414500","Dfb",3.75464247549958
"camels_01415000","Dfb",4.16572884156507
"camels_01423000","Dfb",4.3558023176051
"camels_01434025","Dfb",3.45575346507137
"camels_01435000","Dfb",3.99066611415489
"camels_01439500","Dfb",5.31717349658908
"camels_01440000","Dfa",4.92642361057284
"camels_01440400","Dfb",5.11225785149807
"camels_01451800","Dfa",5.3836182253282
"camels_01466500","Dfa",6.70710252889658
"camels_01484100","Cfa",6.86791875190596
"camels_01485500","Cfa",6.93285852400706
"camels_01486000","Cfa",7.93304789098126
"camels_01487000","Cfa",7.24299555461034
"camels_01491000","Cfa",6.98359962007699
"camels_01510000","Dfb",4.66466932802868
"camels_01516500","Dfb",4.73395853457402
"camels_01518862","Dfb",4.53385130512852
"camels_01532000","Dfb",4.73987036473253
"camels_01539000","Dfb",4.75565569514482
"camels_01542810","Dfb",4.29448313430048
"camels_01543000","Dfb",4.28987302353604
"camels_01543500","Dfb",4.41528843546203
"camels_01544500","Dfb",4.20380104215339
"camels_01545600","Dfb",4.2475703780368
"camels_01547700","Dfb",4.34839569180176
"camels_01548500","Dfb",4.37108339906794
"camels_01549500","Dfb",4.33891202845615
"camels_01550000","Dfb",4.37683814260144
"camels_01552000","Dfb",4.66348285464716
"camels_01552500","Dfb",4.47900350399163
"camels_01557500","Dfb",4.49663950747424
"camels_01567500","Dfa",4.75536975448821
"camels_01568000","Dfa",4.73445543148782
"camels_01580000","Dfa",5.50038060791531
"camels_01583500","Dfa",5.41846127300412
"camels_01586610","Dfa",5.47431862852839
"camels_01591400","Dfa",5.86239372731161
"camels_01594950","Dfb",4.32097278892061
"camels_01596500","Dfb",4.50147514627229
"camels_01605500","Dfb",4.18688938142614
"camels_01606500","Dfb",4.07341582087343
"camels_01613050","Dfa",4.71050023216971
"camels_01620500","Dfa",3.90044517580866
"camels_01632000","Dfa",4.31085111292542
"camels_01632900","Dfa",5.24824852870781
"camels_01634500","Dfa",4.68676452411315
"camels_01638480","Dfa",5.66352170623525
"camels_01639500","Dfa",5.58211714123792
"camels_01644000","Cfa",5.45263288355849
"camels_01658500","Cfa",5.83833513991115
"camels_01664000","Dfa",5.23270603444597
"camels_01666500","Cfa",5.14216475716499
"camels_01667500","Cfa",5.20615406372725
"camels_01669000","Cfa",6.19417599179223
"camels_01669520","Cfa",6.49294149245528
"camels_02011400","Dfb",4.28715760212048
"camels_02011460","Dfb",4.06928562889573
"camels_02013000","Dfb",4.22596261670356
"camels_02014000","Dfb",4.21475392395728
"camels_02015700","Dfb",4.39049116164101
"camels_02016000","Dfb",4.49281391765869
"camels_02017500","Dfa",4.42176283261856
"camels_02018000","Dfa",4.45322632213605
"camels_02027000","Cfa",4.25225032040777
"camels_02027500","Cfa",4.15857187068649
"camels_02028500","Cfa",4.43950069106063
"camels_02038850","Cfa",5.71354502889134
"camels_02046000","Cfa",6.17923526381451
"camels_02051000","Cfa",5.84233445380956
"camels_02051500","Cfa",5.98941459484914
"camels_02053200","Cfa",7.04494633403098
"camels_02053800","Dfa",4.55825668541512
"camels_02055100","Cfa",5.2158118931629
"camels_02056900","Dfa",4.93710094870724
"camels_02059500","Cfa",5.14221085083179
"camels_02064000","Cfa",5.66063928237211
"camels_02065500","Cfa",5.67335271419292
"camels_02069700","Cfa",4.99460305168319
"camels_02070000","Cfa",5.38022135440715
"camels_02074500","Cfa",5.6083933125622
"camels_02077200","Cfa",5.83825826624173
"camels_02081500","Cfa",6.21255961688681
"camels_02082950","Cfa",6.1178393503977
"camels_02092500","Cfa",7.01940080262097
"camels_02096846","Cfa",5.68124965236083
"camels_02102908","Cfa",5.77747641482601
"camels_02108000","Cfa",6.91958670015375
"camels_02111180","Dfb",4.24906384233035
"camels_02111500","Cfa",4.47557891555395
"camels_02112120","Cfa",4.60388581393531
"camels_02112360","Cfa",4.93133076163821
"camels_02118500","Cfa",5.30900872367197
"camels_02125000","Cfa",5.78027061918435
"camels_02128000","Cfa",5.90937226590736
"camels_02137727","Cfa",4.37466966013286
"camels_02140991","Dfb",4.37245081710364
"camels_02143000","Cfa",4.88881211234944
"camels_02143040","Cfa",4.4037050226165
"camels_02149000","Cfa",4.47192167350198
"camels_02152100","Cfa",4.48215020849875
"camels_02177000","Cfa",4.43561611770928
"camels_02178400","Cfa",4.03943439981138
"camels_02193340","Cfa",5.89990970643986
"camels_02196000","Cfa",6.14766353451353
"camels_02198100","Cfa",6.3952388679311
"camels_02202600","Cfa",7.02590971232051
"camels_02212600","Cfa",5.81663068603116
"camels_02215100","Cfa",6.56171286977062
"camels_02216180","Cfa",6.32473981465737
"camels_02221525","Cfa",5.91262663600696
"camels_02231000","Cfa",7.78212734915941
"camels_02231342","Cfa",7.58949388312157
"camels_02235200","Cfa",6.64186954780618
"camels_02245500","Cfa",6.87312518429081
"camels_02246000","Cfa",7.47580873965901
"camels_02296500","Cfa",7.4950901930276
"camels_02297155","Cfa",7.56960196218798
"camels_02297310","Cfa",7.54022123488683
"camels_02298123","Cfa",7.98182606261698
"camels_02298608","Cfa",7.55047547493938
"camels_02299950","Cfa",7.480480584639
"camels_02300700","Cfa",7.19674995397485
"camels_02310947","Cfa",7.17136394464948
"camels_02312200","Cfa",7.01440530576662
"camels_02314500","Cfa",7.54966268436826
"camels_02315500","Cfa",7.63754244626976
"camels_02324400","Cfa",7.77319101226755
"camels_02327100","Cfa",7.40762261373162
"camels_02342933","Cfa",6.31418098407501
"camels_02349900","Cfa",6.58551025857812
"camels_02350900","Cfa",6.07711205465633
"camels_02361000","Cfa",5.95305566279366
"camels_02363000","Cfa",6.02152594904848
"camels_02369800","Cfa",6.40638883334116
"camels_02371500","Cfa",6.14569578837742
"camels_02372250","Cfa",6.15939932948875
"camels_02374500","Cfa",6.05332249590204
"camels_02381600","Cfa",4.84440583312227
"camels_02384540","Cfa",4.13331625245323
"camels_02395120","Cfa",5.74934025061435
"camels_02408540","Cfa",5.51233329951916
"camels_02415000","Cfa",5.57576525494025
"camels_02422500","Cfa",5.87810496948605
"camels_02427250","Cfa",6.12105156837888
"camels_02430085","Cfa",5.91702267567813
"camels_02430615","Cfa",5.91580013391051
"camels_02450250","Cfa",5.08776953177323
"camels_02464000","Cfa",5.55177528862148
"camels_02464146","Cfa",5.30562614528616
"camels_02464360","Cfa",5.66326714968938
"camels_02465493","Cfa",5.55143843995091
"camels_02469800","Cfa",5.84988620359232
"camels_02472000","Cfa",6.28296445565498
"camels_02472500","Cfa",6.38325421007507
"camels_02479155","Cfa",6.30104249596283
"camels_02479300","Cfa",6.54069853360742
"camels_02479560","Cfa",6.3866952681216
"camels_02481000","Cfa",6.50218941419425
"camels_02481510","Cfa",6.47105773389841
"camels_03010655","Dfb",4.38113873445731
"camels_03011800","Dfb",5.13273829631634
"camels_03015500","Dfb",5.17852408409224
"camels_03021350","Dfb",5.49724109926334
"camels_03026500","Dfb",4.97355233639967
"camels_03028000","Dfb",4.75622615305998
"camels_03049000","Dfa",5.13670947990346
"camels_03049800","Dfa",4.6723343277704
"camels_03050000","Dfb",4.39192454082199
"camels_03066000","Dfb",5.17803004897301
"camels_03069500","Dfb",4.34585247507177
"camels_03070500","Dfa",4.96132224275515
"camels_03076600","Dfb",4.61744513398858
"camels_03078000","Dfb",4.80725391891039
"camels_03140000","Dfa",5.14699716500667
"camels_03144000","Dfa",5.34580244879518
"camels_03159540","Dfa",5.32144089503803
"camels_03161000","Dfb",4.54285942079966
"camels_03164000","Dfb",4.59585075593054
"camels_03165000","Cfa",5.01713087944991
"camels_03170000","Cfa",4.98719967652627
"camels_03173000","Dfa",4.50880959105622
"camels_03180500","Dfb",4.34967114065472
"camels_03182500","Dfb",4.40505452878001
"camels_03186500","Dfb",3.96508311525053
"camels_03187500","Dfb",4.01840181198474
"camels_03213700","Cfa",4.06666918423239
"camels_03237280","Dfa",4.69426674580692
"camels_03237500","Dfa",5.6988205374138
"camels_03238500","Dfa",6.8818677054869
"camels_03241500","Dfa",7.16157622864783
"camels_03280700","Cfa",4.19383832731015
"camels_03281100","Cfa",4.43968523415375
"camels_03281500","Cfa",4.5151328019815
"camels_03285000","Cfa",5.63760283688685
"camels_03291780","Dfa",6.04585603895169
"camels_03300400","Cfa",5.85793708810084
"camels_03338780","Dfa",7.32142618215023
"camels_03340800","Dfa",7.16249057990446
"camels_03346000","Dfa",7.23619423949846
"camels_03357350","Dfa",6.42704157640826
"camels_03364500","Dfa",7.2372086172035
"camels_03366500","Dfa",6.50677331554398
"camels_03368000","Dfa",6.38800521881621
"camels_03384450","Dfa",5.20810186595576
"camels_03439000","Cfa",4.36768602155925
"camels_03450000","Cfa",3.22695502905658
"camels_03455500","Cfa",3.43215962486842
"camels_03456500","Cfa",3.68260375749855
"camels_03460000","Cfa",3.7127723361911
"camels_03463300","Cfa",3.84778969958281
"camels_03471500","Dfb",4.45141601865559
"camels_03473000","Cfa",4.43919457890492
"camels_03479000","Dfb",4.26466453320716
"camels_03488000","Cfa",4.26961777121833
"camels_03498500","Cfa",4.44610955388771
"camels_03500000","Cfa",4.23366420669103
"camels_03500240","Cfa",4.11680211818556
"camels_03504000","Cfa",3.83950141229095
"camels_03574500","Cfa",4.3796294335844
"camels_03592718","Cfa",5.97597729681762
"camels_03604000","Cfa",5.69301814733049
"camels_04015330","Dfb",5.98713214955368
"camels_04024430","Dfb",6.44565655150006
"camels_04027000","Dfb",6.02622209547316
"camels_04040500","Dfb",6.29886893876607
"camels_04043050","Dfb",5.77622693960964
"camels_04045500","Dfb",6.86066739591163
"camels_04056500","Dfb",7.0507240775274
"camels_04057510","Dfb",6.67522183829434
"camels_04057800","Dfb",5.9772175741058
"camels_04059500","Dfb",6.63912737165981
"camels_04063700","Dfb",6.37411588648424
"camels_04074950","Dfb",6.19247762666545
"camels_04105700","Dfa",6.16255480306671
"camels_04115265","Dfa",6.38229779231424
"camels_04122200","Dfb",6.47397819674362
"camels_04122500","Dfb",6.50816787080545
"camels_04124000","Dfb",6.29333615334985
"camels_04127918","Dfb",7.18739408482542
"camels_04127997","Dfb",5.70494940257082
"camels_04161580","Dfa",6.25449007731048
"camels_04185000","Dfa",7.03982100505725
"camels_04196800","Dfa",7.31191247472482
"camels_04197100","Dfa",7.09048243845544
"camels_04197170","Dfa",7.06541004712649
"camels_04213000","Dfb",6.23859842631509
"camels_04213075","Dfa",5.82512157694781
"camels_04216418","Dfb",5.35230590482792
"camels_04221000","Dfb",4.70615244122554
"camels_04224775","Dfb",4.69217936105171
"camels_04233000","Dfb",4.70842699148522
"camels_04256000","Dfb",5.69025376756164
"camels_04296000","Dfb",4.91076979736685
"camels_05056000","Dfb",6.84410768121477
"camels_05057000","Dfb",6.85070784162705
"camels_05057200","Dfb",7.41445078562254
"camels_05062500","Dfb",6.75931843220462
"camels_05087500","Dfb",7.73932697316727
"camels_05120500","Dfb",6.80542449583186
"camels_05123400","Dfb",6.91527858200053
"camels_05129115","Dfb",5.63086916774797
"camels_05131500","Dfb",6.74646645771779
"camels_05291000","Dfa",6.86172712034767
"camels_05362000","Dfb",6.61615567196938
"camels_05393500","Dfb",6.28039443944903
"camels_05399500","Dfb",6.49314342133836
"camels_05408000","Dfa",4.94674631545892
"camels_05412500","Dfa",6.04814788743339
"camels_05413500","Dfa",5.53983906461686
"camels_05414000","Dfa",5.4383234701652
"camels_05444000","Dfa",6.17031332819029
"camels_05454000","Dfa",6.05869977526206
"camels_05458000","Dfa",6.78953929575904
"camels_05466500","Dfa",6.52121589736778
"camels_05487980","Dfa",5.89055540195245
"camels_05488200","Dfa",5.94034881233573
"camels_05489000","Dfa",5.81924645967281
"camels_05495000","Dfa",6.29874414298355
"camels_05495500","Dfa",6.78501679950088
"camels_05501000","Dfa",6.47903786115375
"camels_05503800","Dfa",6.77569666632337
"camels_05507600","Dfa",7.26829986327789
"camels_05508805","Dfa",6.66085112902889
"camels_05514500","Dfa",6.53010206762374
"camels_05525500","Dfa",7.61840432616693
"camels_05556500","Dfa",6.81229980786798
"camels_05584500","Dfa",6.97345087283711
"camels_05585000","Dfa",6.81798649971575
"camels_05591550","Dfa",7.3239492752312
"camels_05592050","Dfa",7.11834758190365
"camels_05592575","Dfa",7.02952715576867
"camels_05593575","Dfa",7.21029441647061
"camels_05593900","Dfa",7.02657802713367
"camels_05595730","Dfa",6.9785649542499
"camels_06037500","Dfc",5.07651705724749
"camels_06043500","Dfc",3.76749982841471
"camels_06154410","BSk",4.21699635728331
"camels_06188000","Dfc",3.84790795523649
"camels_06191500","Dfc",3.91342986594447
"camels_06221400","Dfc",3.19257705249413
"camels_06224000","BSk",3.52722638647263
"camels_06278300","Dfc",4.04447102816219
"camels_06280300","Dfc",3.2923110819154
"camels_06289000","Dfc",3.83020629340695
"camels_06291500","BSk",4.17227431384997
"camels_06311000","Dfc",4.74127763410063
"camels_06332515","BSk",5.48417549834222
"camels_06339100","BSk",5.97391077619951
"camels_06339500","Dwb",5.99357847313834
"camels_06344600","BSk",6.45183666227246
"camels_06350000","BSk",6.45006506146161
"camels_06352000","BSk",6.5566675268485
"camels_06353000","BSk",6.39351206993598
"camels_06354000","BSk",6.32562480290523
"camels_06360500","BSk",6.15025791249675
"camels_06404000","BSk",4.51835846157277
"camels_06406000","BSk",4.81365729200991
"camels_06408700","Dfb",4.43177459337794
"camels_06409000","Dfb",4.66139823088768
"camels_06431500","Dfb",4.5043565499743
"camels_06440200","BSk",6.41244917240331
"camels_06441500","BSk",6.02636861497137
"camels_06447000","BSk",5.87593397615517
"camels_06447500","BSk",6.5175376297049
"camels_06450500","BSk",6.14596632560228
"camels_06452000","BSk",5.97201557763445
"camels_06453600","Dfa",6.18798329416096
"camels_06464500","Dfa",6.46527680640116
"camels_06468170","Dfb",7.18464873638794
"camels_06468250","Dfb",7.19613417610209
"camels_06470800","Dfb",7.46476984481818
"camels_06477500","Dfa",7.24666056572505
"camels_06479215","Dfa",6.68735856253124
"camels_06479438","Dfa",6.79753669195026
"camels_06601000","Dfa",5.62819529719429
"camels_06614800","Dfc",3.0803876702616
"camels_06622700","Dfc",4.41686718658367
"camels_06623800","Dfc",4.11580908136048
"camels_06632400","Dfc",4.30780673717771
"camels_06746095","Dfc",3.45110483595473
"camels_06784000","Dfa",6.2256067708698
"camels_06803510","Dfa",5.99211929735909
"camels_06803530","Dfa",6.14365746382568
"camels_06814000","Dfa",6.00889746278283
"camels_06847900","Dfa",6.50493512915353
"camels_06853800","Dfa",6.32653757474872
"camels_06876700","Dfa",6.21054122517947
"camels_06878000","Dfa",6.3818175133307
"camels_06879650","Dfa",5.23211516409922
"camels_06885500","Dfa",6.1940847954584
"camels_06888500","Dfa",5.74601635413282
"camels_06889200","Dfa",6.1306110779297
"camels_06889500","Dfa",6.18230520971544
"camels_06892000","Dfa",6.08981558645375
"camels_06903400","Dfa",6.33818502481058
"camels_06906800","Dfa",6.14860604706079
"camels_06910800","Dfa",6.3698953764125
"camels_06911900","Dfa",6.34753283261818
"camels_06917000","Dfa",6.40257446473546
"camels_06918460","Dfa",5.90487363983963
"camels_06919500","Dfa",6.25915180026005
"camels_06921070","Dfa",5.92208219012239
"camels_06921200","Dfa",6.01258829107695
"camels_06934000","Dfa",5.58807906478303
"camels_07014500","Dfa",5.57845896045158
"camels_07056000","Cfa",4.44250981653501
"camels_07057500","Cfa",5.5850482468015
"camels_07060710","Cfa",4.82660252733012
"camels_07066000","Dfa",5.50466858696924
"camels_07067000","Dfa",5.40885485454579
"camels_07068000","Dfa",5.40853020539268
"camels_07071500","Cfa",5.7393335779306
"camels_07083000","Dfc",3.53679090825033
"camels_07142300","Dfa",7.49374553595904
"camels_07145700","Cfa",7.09259975330215
"camels_07148400","Dfa",6.22141536346457
"camels_07149000","Dfa",6.26884115156205
"camels_07151500","Cfa",6.99571987727238
"camels_07167500","Dfa",6.03637581211505
"camels_07180500","Dfa",6.48433940600721
"camels_07184000","Cfa",7.01125271380118
"camels_07195800","Cfa",5.81349130041786
"camels_07196900","Cfa",5.00605252839857
"camels_07197000","Cfa",5.39401742619873
"camels_07208500","Dfb",4.37111246169302
"camels_07226500","BSk",6.11285700016364
"camels_07261000","Cfa",5.64901032541277
"camels_07263295","Cfa",5.1256131303553
"camels_07290650","Cfa",6.19267620656884
"camels_07291000","Cfa",6.06570923219506
"camels_07292500","Cfa",6.02712716123375
